EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
1000,Joan,Taylor,JTAYLOR,650.700.4445,01-JUL-14,ST_CLERK,3200, - ,100,50
1001,Joan,Miller,JMILLER,650.493.7609,24-DEC-19,ST_CLERK,12008, - ,120,60
1002,Jack,Jones,JJONES,650.710.9425,03-AUG-08,IT_PROG,3200, - ,120,50
1003,James,Wilson,JWILSON,650.345.9206,25-NOV-04,ST_CLERK,2900, - ,121,60
1004,Jerry,Moore,JMOORE,650.189.6061,14-AUG-11,ST_CLERK,4200, - ,108,30
1005,Joan,Miller,JMILLER,650.604.4283,22-JAN-20,IT_PROG,2500, - ,205,20
1006,James,Williams,JWILLIAMS,650.167.6167,06-JUL-12,AD_VP,17000, - ,108,50
1007,Joy,Johnson,JJOHNSON,650.763.9167,15-OCT-08,ST_CLERK,6500, - ,101,50
1008,Joy,Taylor,JTAYLOR,650.660.6720,29-JUN-10,FI_ACCOUNT,2900, - ,124,50
1009,Jane,Johnson,JJOHNSON,650.394.9822,10-MAR-14,PU_CLERK,8200, - ,108,70
1010,Jack,Taylor,JTAYLOR,650.940.8048,10-JAN-05,FI_ACCOUNT,12008, - ,100,90
1011,Jerry,Williams,JWILLIAMS,650.144.5072,17-OCT-14,FI_ACCOUNT,24000, - ,122,90
1012,Joy,Jones,JJONES,650.583.5354,20-MAR-06,ST_CLERK,2600, - ,121,100
1013,John,Williams,JWILLIAMS,650.516.5646,17-DEC-17,FI_MGR,12008, - ,101,50
1014,Jim,Davis,JDAVIS,650.218.9511,24-APR-13,ST_CLERK,4800, - ,101,30
1015,Jim,Davis,JDAVIS,650.196.9020,15-FEB-10,ST_MAN,2700, - ,201,50
1016,James,Brown,JBROWN,650.612.5628,11-AUG-14,AD_PRES,6000, - ,123,50
1017,Joan,Davis,JDAVIS,650.273.1997,24-NOV-10,PU_CLERK,6500, - ,114,50
1018,Jane,Taylor,JTAYLOR,650.128.8368,16-NOV-15,ST_CLERK,2900, - ,103,30
1019,Jerry,Johnson,JJOHNSON,650.415.1742,26-AUG-05,AD_VP,2200, - ,114,60
1020,Jane,Taylor,JTAYLOR,650.874.3858,16-DEC-14,IT_PROG,3200, - ,122,60
1021,John,Taylor,JTAYLOR,650.190.2766,17-JUL-16,SH_CLERK,6500, - ,100,50
1022,Joan,Davis,JDAVIS,650.681.7311,14-MAY-14,PU_CLERK,3200, - ,100,50
1023,Joan,Davis,JDAVIS,650.626.6692,23-AUG-07,FI_ACCOUNT,2900, - ,101,50
1024,Jill,Smith,JSMITH,650.894.4059,11-MAY-05,PU_CLERK,17000, - ,114,100
1025,Joy,Moore,JMOORE,650.851.1717,01-APR-16,ST_CLERK,6900, - ,108,90
1026,Joan,Taylor,JTAYLOR,650.802.6062,11-FEB-20,FI_ACCOUNT,7900, - ,100,50
1027,Jack,Smith,JSMITH,650.601.2173,31-JUL-21,ST_CLERK,11000, - ,100,30
1028,Joy,Brown,JBROWN,650.233.7640,23-OCT-03,FI_ACCOUNT,2200, - ,122,60
1029,Jerry,Johnson,JJOHNSON,650.106.7928,15-JAN-23,IT_PROG,8000, - ,100,50
1030,Julia,Smith,JSMITH,650.101.2079,23-SEP-10,IT_PROG,2500, - ,123,50
1031,Jim,Smith,JSMITH,650.548.4757,19-NOV-10,FI_ACCOUNT,6000, - ,100,100
1032,Joan,Brown,JBROWN,650.933.7031,04-APR-21,ST_CLERK,2500, - ,103,30
1033,James,Jones,JJONES,650.513.6132,18-AUG-04,MK_REP,6000, - ,101,60
1034,Jerry,Jones,JJONES,650.333.1834,16-FEB-04,MK_REP,2400, - ,103,50
